nlist,M,nprobe,p,threads,recall,latency_us
256,4,8,500,1,0.784252,234.443
256,4,8,500,2,0.784052,192.595
256,4,8,500,4,0.784602,179.727
256,4,8,500,8,0.784802,255.102
256,4,8,1000,1,0.871653,323.07
256,4,8,1000,2,0.871603,250.6
256,4,8,1000,4,0.871553,227.622
256,4,8,1000,8,0.871603,240.037
256,4,8,2000,1,0.913804,488.386
256,4,8,2000,2,0.913903,369.802
256,4,8,2000,4,0.913904,306.977
256,4,8,2000,8,0.913804,335.93
256,4,16,500,1,0.798453,319.101
256,4,16,500,2,0.798503,256.267
256,4,16,500,4,0.798353,278.273
256,4,16,500,8,0.798903,298.836
256,4,16,1000,1,0.897354,408.892
256,4,16,1000,2,0.896954,364.7
256,4,16,1000,4,0.897054,330.273
256,4,16,1000,8,0.897153,363.758
256,4,16,2000,1,0.949153,592.774
256,4,16,2000,2,0.949203,456.461
256,4,16,2000,4,0.949253,378.827
256,4,16,2000,8,0.949253,1013.24
256,4,32,500,1,0.800303,461.347
256,4,32,500,2,0.800153,476.193
256,4,32,500,4,0.800853,446.139
256,4,32,500,8,0.799603,772.975
256,4,32,1000,1,0.901204,561.252
256,4,32,1000,2,0.901204,428.428
256,4,32,1000,4,0.901404,448.925
256,4,32,1000,8,0.901304,452.103
256,4,32,2000,1,0.960153,740.554
256,4,32,2000,2,0.960203,598.878
256,4,32,2000,4,0.960103,551.5
256,4,32,2000,8,0.960153,581.693
256,8,8,500,1,0.891404,280.008
256,8,8,500,2,0.891454,245.309
256,8,8,500,4,0.891554,172.762
256,8,8,500,8,0.891454,1805.78
256,8,8,1000,1,0.915603,366.62
256,8,8,1000,2,0.915553,307.355
256,8,8,1000,4,0.915503,226.887
256,8,8,1000,8,0.915503,1838.49
256,8,8,2000,1,0.922003,544.775
256,8,8,2000,2,0.922003,367.953
256,8,8,2000,4,0.922003,258.721
256,8,8,2000,8,0.922003,1969.41
256,8,16,500,1,0.928155,381.391
256,8,16,500,2,0.927855,349.982
256,8,16,500,4,0.928105,245.656
256,8,16,500,8,0.928105,1839.29
256,8,16,1000,1,0.958253,495.025
256,8,16,1000,2,0.958253,360.63
256,8,16,1000,4,0.958253,293.396
256,8,16,1000,8,0.958253,1901.06
256,8,16,2000,1,0.967203,706.443
256,8,16,2000,2,0.967253,520.471
256,8,16,2000,4,0.967203,388.144
256,8,16,2000,8,0.967153,516.589
256,8,32,500,1,0.942105,554.595
256,8,32,500,2,0.942205,429.508
256,8,32,500,4,0.941755,345.411
256,8,32,500,8,0.942055,513.821
256,8,32,1000,1,0.976253,635.58
256,8,32,1000,2,0.976353,570.87
256,8,32,1000,4,0.976353,419.573
256,8,32,1000,8,0.976403,872.458
256,8,32,2000,1,0.986902,832.475
256,8,32,2000,2,0.986952,751.844
