Threads,Schedule,Chunk,LocalP,AvgRecall,AvgLatency(us)
1,static,0,10,0.99995,8846.55
1,static,0,20,0.99995,10098
1,static,0,50,0.99995,11440.8
1,static,0,100,0.99995,12173.6
1,static,1,10,0.99995,13408.7
1,static,1,20,0.99995,13091.3
1,static,1,50,0.99995,13376.7
1,static,1,100,0.99995,13437.5
1,static,4,10,0.99995,11366.5
1,static,4,20,0.99995,7922.52
1,static,4,50,0.99995,7965.7
1,static,4,100,0.99995,8868.83
1,static,16,10,0.99995,10068
1,static,16,20,0.99995,8148.08
1,static,16,50,0.99995,7925.5
1,static,16,100,0.99995,11738.2
1,static,64,10,0.99995,9250.03
1,static,64,20,0.99995,11344.8
1,static,64,50,0.99995,13944.1
1,static,64,100,0.99995,12824.8
1,static,256,10,0.99995,8376.51
1,static,256,20,0.99995,8178.23
1,static,256,50,0.99995,9495.35
1,static,256,100,0.99995,14008
1,static,1024,10,0.99995,13572.8
1,static,1024,20,0.99995,13758.4
1,static,1024,50,0.99995,13821.8
1,static,1024,100,0.99995,14317.3
1,dynamic,0,10,0.99995,18060.9
1,dynamic,0,20,0.99995,18086.3
1,dynamic,0,50,0.99995,18336.9
1,dynamic,0,100,0.99995,17008.1
1,dynamic,1,10,0.99995,17230.2
1,dynamic,1,20,0.99995,11992.3
1,dynamic,1,50,0.99995,16273.2
1,dynamic,1,100,0.99995,15090.4
1,dynamic,4,10,0.99995,14321.9
1,dynamic,4,20,0.99995,15149.4
1,dynamic,4,50,0.99995,15113.3
1,dynamic,4,100,0.99995,15266.9
1,dynamic,16,10,0.99995,14244
1,dynamic,16,20,0.99995,12330.4
1,dynamic,16,50,0.99995,14574.5
1,dynamic,16,100,0.99995,14400.6
1,dynamic,64,10,0.99995,14072.3
1,dynamic,64,20,0.99995,14151.2
1,dynamic,64,50,0.99995,13827.8
1,dynamic,64,100,0.99995,14030.5
1,dynamic,256,10,0.99995,13699.7
1,dynamic,256,20,0.99995,13421.3
1,dynamic,256,50,0.99995,12375.1
1,dynamic,256,100,0.99995,12794.7
1,dynamic,1024,10,0.99995,13585.1
1,dynamic,1024,20,0.99995,11904
1,dynamic,1024,50,0.99995,13692.5
1,dynamic,1024,100,0.99995,13231.4
1,guided,0,10,0.99995,12250
1,guided,0,20,0.99995,11859.1
1,guided,0,50,0.99995,10925.1
1,guided,0,100,0.99995,11230.3
1,guided,1,10,0.99995,12279.7
1,guided,1,20,0.99995,12857.4
1,guided,1,50,0.99995,13153.8
1,guided,1,100,0.99995,12208.2
1,guided,4,10,0.99995,10112
1,guided,4,20,0.99995,10377.1
1,guided,4,50,0.99995,9699.64
1,guided,4,100,0.99995,10310.8
1,guided,16,10,0.99995,10601.6
1,guided,16,20,0.99995,8489.09
1,guided,16,50,0.99995,10914.7
1,guided,16,100,0.99995,12662.1
1,guided,64,10,0.99995,12366.5
1,guided,64,20,0.99995,10911.5
1,guided,64,50,0.99995,12040.4
1,guided,64,100,0.99995,12754
1,guided,256,10,0.99995,12276.6
1,guided,256,20,0.99995,12027
1,guided,256,50,0.99995,11748
1,guided,256,100,0.99995,12144.9
1,guided,1024,10,0.99995,11286.7
1,guided,1024,20,0.99995,10610.4
1,guided,1024,50,0.99995,10300.3
1,guided,1024,100,0.99995,12579.9
2,static,0,10,0.99995,6399.56
2,static,0,20,0.99995,6366.27
2,static,0,50,0.99995,6663.82
2,static,0,100,0.99995,6666.91
2,static,1,10,0.99995,11378.5
2,static,1,20,0.99995,9756.26
2,static,1,50,0.99995,10029.4
2,static,1,100,0.99995,10369.5
2,static,4,10,0.99995,8788.03
2,static,4,20,0.99995,9741.95
2,static,4,50,0.99995,8906.8
2,static,4,100,0.99995,9914.22
2,static,16,10,0.99995,7912.69
2,static,16,20,0.99995,7909.14
2,static,16,50,0.99995,7320.95
2,static,16,100,0.99995,8010.48
2,static,64,10,0.99995,7098.69
2,static,64,20,0.99995,6604.37
2,static,64,50,0.99995,7328.5
2,static,64,100,0.99995,7028.6
2,static,256,10,0.99995,6867.83
2,static,256,20,0.99995,5597.02
2,static,256,50,0.99995,5234.63
2,static,256,100,0.99995,6232.41
2,static,1024,10,0.99995,7505.58
2,static,1024,20,0.99995,5388.2
2,static,1024,50,0.99995,4683.33
2,static,1024,100,0.99995,5953.23
2,dynamic,0,10,0.99995,21093
2,dynamic,0,20,0.99995,23147.8
2,dynamic,0,50,0.99995,23682.7
2,dynamic,0,100,0.99995,25668.9
2,dynamic,1,10,0.99995,22896.7
2,dynamic,1,20,0.99995,17854.8
2,dynamic,1,50,0.99995,15666.4
2,dynamic,1,100,0.99995,13475.6
2,dynamic,4,10,0.99995,7641
2,dynamic,4,20,0.99995,8419.28
2,dynamic,4,50,0.99995,8581.84
2,dynamic,4,100,0.99995,8280.71
2,dynamic,16,10,0.99995,6451.65
2,dynamic,16,20,0.99995,6404.79
2,dynamic,16,50,0.99995,7059.72
2,dynamic,16,100,0.99995,8860.66
2,dynamic,64,10,0.99995,6663.69
2,dynamic,64,20,0.99995,5419.44
