Algorithm,Recall,Avg_Latency(us)
flat,0.99995,17599.2
flat_simd,0.99995,16994.5
flat_omp_t1,0.99995,9612.4
flat_omp_t2,0.99995,19710.1
flat_omp_t4,0.99995,12961.8
flat_omp_t8,0.99995,20040.3
flat_pthread_t1,0.99995,4478.46
flat_pthread_t2,0.99995,2408.5
flat_pthread_t4,0.99995,1320.18
flat_pthread_t8,0.99995,1065.03
sq_p10,0.962656,3758.24
sq_p50,0.99995,3928.82
sq_p100,0.99995,3802.57
sq_p200,0.99995,3964.51
sq_p500,0.99995,4191.18
sq_p1000,0.99995,4608.05
pq_p10,0.1112,774.752
pq_p50,0.3168,855.748
pq_p100,0.4541,1042.53
pq_p200,0.606401,1246.33
pq_p500,0.795752,1781.45
pq_p1000,0.902753,2571.6
pq_p10_t1,0.11095,1223.05
pq_p10_t2,0.111,988.559
pq_p10_t4,0.11135,947.555
pq_p10_t8,0.1112,789.646
pq_p50_t1,0.3168,1274.56
pq_p50_t2,0.31685,1001.24
pq_p50_t4,0.31705,1000.56
pq_p50_t8,0.3168,864.678
pq_p100_t1,0.4542,1351.02
pq_p100_t2,0.4535,1036.31
pq_p100_t4,0.452949,1072.72
pq_p100_t8,0.4541,1045.08
pq_p200_t1,0.606351,1461.98
pq_p200_t2,0.607201,1125.72
pq_p200_t4,0.605402,1193.11
pq_p200_t8,0.606401,1223.19
pq_p500_t1,0.795702,1744.17
pq_p500_t2,0.796002,1429.48
pq_p500_t4,0.795402,1516.35
pq_p500_t8,0.795752,1800.85
pq_p1000_t1,0.902753,2181.74
pq_p1000_t2,0.902753,1927.98
pq_p1000_t4,0.902753,2219.09
pq_p1000_t8,0.902753,2689.01
ivfpq_n1_p10,0.1114,51.1985
ivfpq_n1_p50,0.2778,54.9355
ivfpq_n1_p100,0.3617,61.75
ivfpq_n1_p200,0.4528,54.3375
ivfpq_n1_p500,0.52555,66.104
ivfpq_n1_p1000,0.56315,77.061
ivfpq_n2_p10,0.11585,76.406
ivfpq_n2_p50,0.3047,81.261
ivfpq_n2_p100,0.42035,80.9825
ivfpq_n2_p200,0.5333,86.083
ivfpq_n2_p500,0.662551,100.924
ivfpq_n2_p1000,0.711702,120.471
ivfpq_n4_p10,0.1144,97.573
ivfpq_n4_p50,0.31165,98.3075
ivfpq_n4_p100,0.4453,102.59
ivfpq_n4_p200,0.576301,114.532
ivfpq_n4_p500,0.740852,113.909
ivfpq_n4_p1000,0.806803,146.83
ivfpq_n8_p10,0.115951,124.348
ivfpq_n8_p50,0.3232,130.173
ivfpq_n8_p100,0.4562,139.898
ivfpq_n8_p200,0.605951,138.874
ivfpq_n8_p500,0.787702,172.706
ivfpq_n8_p1000,0.867403,200.843
ivfpq_n16_p10,0.11405,201.702
ivfpq_n16_p50,0.32005,193.104
ivfpq_n16_p100,0.46125,187.678
ivfpq_n16_p200,0.603251,192.943
ivfpq_n16_p500,0.799702,234.652
ivfpq_n16_p1000,0.889454,241.862
ivfpq_n32_p10,0.1175,289.971
ivfpq_n32_p50,0.3262,292.776
ivfpq_n32_p100,0.453549,297.716
ivfpq_n32_p200,0.6113,293.012
ivfpq_n32_p500,0.794952,349.115
ivfpq_n32_p1000,0.900205,311.449
ivfpq_n64_p10,0.10965,454.541
ivfpq_n64_p50,0.31735,401.761
ivfpq_n64_p100,0.450051,392.003
ivfpq_n64_p200,0.606851,614.939
ivfpq_n64_p500,0.799503,466.389
ivfpq_n64_p1000,0.903354,471.225
ivfmpi_n1,0.55885,149.014
ivfmpi_n1,0.56375,68.7765
ivfmpi_n1,0.56405,40.795
ivfmpi_n2,0.718351,283.262
ivfmpi_n2,0.727452,129.508
ivfmpi_n2,0.716501,66.7405
ivfmpi_n4,0.844302,437.94
ivfmpi_n4,0.849002,199.111
ivfmpi_n4,0.847302,116.536
ivfmpi_n8,0.923302,707.362
ivfmpi_n8,0.923853,403.984
ivfmpi_n8,0.925252,173.554
ivfmpi_n16,0.967352,1378.74
ivfmpi_n16,0.969402,585.146
ivfmpi_n16,0.969252,333.797
ivfmpi_n32,0.989801,2630.32
ivfmpi_n32,0.990351,956.734
ivfmpi_n32,0.990601,547.711
ivfmpi_n64,0.997101,4518.16
ivfmpi_n64,0.9979,1934.72
ivfmpi_n64,0.9983,900.456
ivfmpi_mt_n1,0.55665,212.383
ivfmpi_mt_n1,0.56635,600.876
ivfmpi_mt_n1,0.55775,1532.15
ivfmpi_mt_n2,0.726751,247.691
ivfmpi_mt_n2,0.721501,677.821
ivfmpi_mt_n2,0.717251,1571.07
ivfmpi_mt_n4,0.847403,270.198
ivfmpi_mt_n4,0.844802,710.061
ivfmpi_mt_n4,0.842902,1635.07
ivfmpi_mt_n8,0.926002,354.301
ivfmpi_mt_n8,0.923753,736.23
ivfmpi_mt_n8,0.925352,1646.19
ivfmpi_mt_n16,0.967852,442.092
ivfmpi_mt_n16,0.970952,836.11
ivfmpi_mt_n16,0.969152,1698.43
ivfmpi_mt_n32,0.990001,586.74
ivfmpi_mt_n32,0.989951,1117.07
ivfmpi_mt_n32,0.989851,1982.92
ivfmpi_mt_n64,0.99715,918.122
ivfmpi_mt_n64,0.9977,1386.18
ivfmpi_mt_n64,0.9978,2298.88
ivf_hnsw,0.939603,448.915
ivf_hnsw_mpi_n1,0.51085,236.921
ivf_hnsw_mpi_n1,0.51085,186.238
ivf_hnsw_mpi_n1,0.51085,181.281
ivf_hnsw_mpi_n2,0.688702,355.92
ivf_hnsw_mpi_n2,0.688702,340.759
ivf_hnsw_mpi_n2,0.688702,216.062
ivf_hnsw_mpi_n4,0.826953,801.567
ivf_hnsw_mpi_n4,0.826953,460.74
ivf_hnsw_mpi_n4,0.826953,319.533
ivf_hnsw_mpi_n8,0.919254,1258.85
ivf_hnsw_mpi_n8,0.919254,805.667
ivf_hnsw_mpi_n8,0.919254,503.927
ivf_hnsw_mpi_n16,0.969302,2444.98
ivf_hnsw_mpi_n16,0.969302,1401.4
ivf_hnsw_mpi_n16,0.969302,851.728
ivf_hnsw_mpi_n32,0.991051,4747.73
ivf_hnsw_mpi_n32,0.991051,2684.95
ivf_hnsw_mpi_n32,0.991051,1422.72
ivf_hnsw_mpi_n64,0.9982,12332.9
ivf_hnsw_mpi_n64,0.9982,4669.16
ivf_hnsw_mpi_n64,0.9982,2686.98
partition_hnsw_mpi,0.25145,298.405
partition_hnsw_mpi,0.49495,331.276
partition_hnsw_mpi,0.99875,411.589
hnsw_on_hnsw_mpi_n1,0.51085,262.274
hnsw_on_hnsw_mpi_n1,0.51085,218.768
hnsw_on_hnsw_mpi_n1,0.51085,214.053
hnsw_on_hnsw_mpi_n2,0.688702,367.242
hnsw_on_hnsw_mpi_n2,0.688702,293.255
hnsw_on_hnsw_mpi_n2,0.688702,248.743
hnsw_on_hnsw_mpi_n4,0.826953,672.359
hnsw_on_hnsw_mpi_n4,0.826953,481.257
hnsw_on_hnsw_mpi_n4,0.826953,360.76
hnsw_on_hnsw_mpi_n8,0.919254,1284.83
hnsw_on_hnsw_mpi_n8,0.919254,831.696
hnsw_on_hnsw_mpi_n8,0.919254,582.789
hnsw_on_hnsw_mpi_n16,0.969302,2460.42
hnsw_on_hnsw_mpi_n16,0.969302,1389.27
hnsw_on_hnsw_mpi_n16,0.969302,901.178
hnsw_on_hnsw_mpi_n32,0.991001,4752.35
hnsw_on_hnsw_mpi_n32,0.991001,2600.99
hnsw_on_hnsw_mpi_n32,0.991001,1411.77
hnsw_on_hnsw_mpi_n64,0.9982,10703.3
hnsw_on_hnsw_mpi_n64,0.9982,4586.44
hnsw_on_hnsw_mpi_n64,0.9982,2728.27
