Parallel_Method,Recall,Avg_Latency(us)
serial,0.99995,17599.2
simd,0.99995,16994.5
omp,0.99995,9612.4
omp,0.99995,19710.1
omp,0.99995,12961.8
omp,0.99995,20040.3
omp,0.99995,4478.46
omp,0.99995,2408.5
omp,0.99995,1320.18
omp,0.99995,1065.03
simd,0.962656,3758.24
simd,0.99995,3928.82
simd,0.99995,3802.57
simd,0.99995,3964.51
simd,0.99995,4191.18
simd,0.99995,4608.05
simd,0.1112,774.752
simd,0.3168,855.748
simd,0.4541,1042.53
simd,0.606401,1246.33
simd,0.795752,1781.45
simd,0.902753,2571.6
omp,0.11095,1223.05
omp,0.111,988.559
omp,0.11135,947.555
omp,0.1112,789.646
omp,0.3168,1274.56
omp,0.31685,1001.24
omp,0.31705,1000.56
omp,0.3168,864.678
omp,0.4542,1351.02
omp,0.4535,1036.31
omp,0.452949,1072.72
omp,0.4541,1045.08
omp,0.606351,1461.98
omp,0.607201,1125.72
omp,0.605402,1193.11
omp,0.606401,1223.19
omp,0.795702,1744.17
omp,0.796002,1429.48
omp,0.795402,1516.35
omp,0.795752,1800.85
omp,0.902753,2181.74
omp,0.902753,1927.98
omp,0.902753,2219.09
omp,0.902753,2689.01
simd,0.1114,51.1985
simd,0.2778,54.9355
simd,0.3617,61.75
simd,0.4528,54.3375
simd,0.52555,66.104
simd,0.56315,77.061
simd,0.11585,76.406
simd,0.3047,81.261
simd,0.42035,80.9825
simd,0.5333,86.083
simd,0.662551,100.924
simd,0.711702,120.471
simd,0.1144,97.573
simd,0.31165,98.3075
simd,0.4453,102.59
simd,0.576301,114.532
simd,0.740852,113.909
simd,0.806803,146.83
simd,0.115951,124.348
simd,0.3232,130.173
simd,0.4562,139.898
simd,0.605951,138.874
simd,0.787702,172.706
simd,0.867403,200.843
simd,0.11405,201.702
simd,0.32005,193.104
simd,0.46125,187.678
simd,0.603251,192.943
simd,0.799702,234.652
simd,0.889454,241.862
simd,0.1175,289.971
simd,0.3262,292.776
simd,0.453549,297.716
simd,0.6113,293.012
simd,0.794952,349.115
simd,0.900205,311.449
simd,0.10965,454.541
simd,0.31735,401.761
simd,0.450051,392.003
simd,0.606851,614.939
simd,0.799503,466.389
simd,0.903354,471.225
mpi,0.55885,149.014
mpi,0.56375,68.7765
mpi,0.56405,40.795
mpi,0.718351,283.262
mpi,0.727452,129.508
mpi,0.716501,66.7405
mpi,0.844302,437.94
mpi,0.849002,199.111
mpi,0.847302,116.536
mpi,0.923302,707.362
mpi,0.923853,403.984
mpi,0.925252,173.554
mpi,0.967352,1378.74
mpi,0.969402,585.146
mpi,0.969252,333.797
mpi,0.989801,2630.32
mpi,0.990351,956.734
mpi,0.990601,547.711
mpi,0.997101,4518.16
mpi,0.9979,1934.72
mpi,0.9983,900.456
mpi,0.55665,212.383
mpi,0.56635,600.876
mpi,0.55775,1532.15
mpi,0.726751,247.691
mpi,0.721501,677.821
mpi,0.717251,1571.07
mpi,0.847403,270.198
mpi,0.844802,710.061
mpi,0.842902,1635.07
mpi,0.926002,354.301
mpi,0.923753,736.23
mpi,0.925352,1646.19
mpi,0.967852,442.092
mpi,0.970952,836.11
mpi,0.969152,1698.43
mpi,0.990001,586.74
mpi,0.989951,1117.07
mpi,0.989851,1982.92
mpi,0.99715,918.122
mpi,0.9977,1386.18
mpi,0.9978,2298.88
omp,0.939603,448.915
mpi,0.51085,236.921
mpi,0.51085,186.238
mpi,0.51085,181.281
mpi,0.688702,355.92
mpi,0.688702,340.759
mpi,0.688702,216.062
mpi,0.826953,801.567
mpi,0.826953,460.74
mpi,0.826953,319.533
mpi,0.919254,1258.85
mpi,0.919254,805.667
mpi,0.919254,503.927
mpi,0.969302,2444.98
mpi,0.969302,1401.4
mpi,0.969302,851.728
mpi,0.991051,4747.73
mpi,0.991051,2684.95
mpi,0.991051,1422.72
mpi,0.9982,12332.9
mpi,0.9982,4669.16
mpi,0.9982,2686.98
mpi,0.25145,298.405
mpi,0.49495,331.276
mpi,0.99875,411.589
mpi,0.51085,262.274
mpi,0.51085,218.768
mpi,0.51085,214.053
mpi,0.688702,367.242
mpi,0.688702,293.255
mpi,0.688702,248.743
mpi,0.826953,672.359
mpi,0.826953,481.257
mpi,0.826953,360.76
mpi,0.919254,1284.83
mpi,0.919254,831.696
mpi,0.919254,582.789
mpi,0.969302,2460.42
mpi,0.969302,1389.27
mpi,0.969302,901.178
mpi,0.991001,4752.35
mpi,0.991001,2600.99
mpi,0.991001,1411.77
mpi,0.9982,10703.3
mpi,0.9982,4586.44
mpi,0.9982,2728.27
